feature,score
credit_amount_amount_of_bill_left_2_min,17
consume_amount_repay_sub_now_0_max,17
pre_repayment_repay_sub_now_1_max,17
pre_repayment_pre_amount_of_bill_2_max,17
pre_repayment_amount_of_bill_left_2_max,17
stg3_pre_repayment_mean,17
browse_count_var_lt,17
amount_per_n_mean_all,17
stg4_repay_sub_mean_t5_all,17
stg1_amount_of_bill_left_min_t5,17
A_31,17
stg1_amount_of_bill_left_mean_t5_all,17
repay_sub_now_repay_sub_2_min,17
varcashBalRate,17
A_231,17
stg5_repay_sub_min_t5,17
stg9_amount_of_bill_left_std,17
stg3_pre_repayment_max_min_t5_all,17
stg5_pre_repayment_max_t5_all,16
consume_amount_amount_of_bill_left_0_min,16
pre_amount_of_bill_repay_sub_now_2_max,16
stg5_amount_of_bill_left_mean_t5_all,16
consume_amount_repay_sub_now_2_max,16
A_325,16
pre_amount_of_bill_amount_of_bill_left_0_min,16
A_80,16
stg6_time_mean,16
kurtosiscashBalRate,16
kurtosiscreditlimitUseGap,16
stg10_pre_repayment_max,16
kurtosisCreditlimitUseRateLast,16
repay_sub_now_amount_of_bill_left_1_max,16
stg5_browser_data_min,16
stg2_repay_sub_max_t5_all,16
pre_amount_of_bill_repay_sub_0_max,16
Z_896,16
A_55,16
credit_amount_amount_of_bill_left_1_max,16
stg5_amount_of_bill_left_mean_t5,16
Z_889,16
stg1_amount_of_bill_left_max_t5,16
A_60,16
bf3SB7CC,16
consume_amount_pre_amount_of_bill_2_min,16
pre_repayment_amount_of_bill_left_0_max,16
stg5_examount0_mean,16
stg9_pre_amount_of_bill_mean,16
stg4_pre_amount_of_bill_max_t5_all,16
A_5,16
A_9,16
stg10_time_mean,16
amount_of_bill_left_pre_repayment_1_max,16
A_377,16
amount_of_bill_left_repay_sub_0_min,16
stg2_repay_sub_mean_t5,16
A_22,16
repay_sub_std,16
amount_of_bill_left_repay_sub_1_max,16
stg9_pre_amount_of_bill_max,16
stg8_time_max,16
consume_amount_amount_of_bill_left_1_max,16
credit_amount_repay_sub_now_2_min,16
A_317,16
A_221,16
stg4_browse_count_mean,16
stg1_browse_count_min,16
stg7_pre_amount_of_bill_min,16
stg7_examount_1_mean,16
mean_overdraft_last,16
stg1_amount_of_bill_left_max,16
stg6_time_max,15
consume_amountstg_max_mean_all,15
amount_of_bill_left_repay_sub_now_1_max,15
amount_of_bill_left_min_all,15
stg2_consume_amount_mean_t5_all,15
amount_of_bill_leftstg_max_max_all,15
meanlastRefundminRefundRate,15
A_82,15
stg6_pre_repayment_std,15
stg5_credit_amount_mean,15
A_92,15
stg10_pre_repayment_mean,15
credit_amountstg_max_mean_all,15
pre_repayment_repay_sub_now_2_max,15
pre_repayment_repay_sub_2_max,15
repay_sub_max_min_all,15
A_57,15
skewnesslastRefundGap,15
repay_sub_now_amount_of_bill_left_0_min,15
pre_repayment_mean_all,15
stg8_time_min,15
consume_amount_repay_sub_now_1_min,15
