feature,score
去重后放款后预借现金额度max,56
去重后放款后可用余额max与放款后预借现金额度max差值,55
放款后消费笔数median与放款前消费笔数median差值,55
214,54
155,53
放款后上期账单金额sum与放款前上期账单金额sum差值,53
放款前循环利息min,52
去重后放款后循环利息sum,52
222,52
放款后该用户账单数(去重)与放款前该用户账单数(去重)差值,50
放款后消费笔数min,49
88,49
放款后循环利息max,48
去重后放款后可用余额max与去重后放款前可用余额max差值,48
放款后上期还款金额sum与放款前上期还款金额sum差值,47
放款后可用余额var与放款前可用余额var差值,44
放款后可用余额min与放款后预借现金额度min差值与放款前可用余额min与放款前预借现金额度min差值差值,44
去重后放款后消费笔数max与去重后放款前消费笔数max差值,44
89,43
去重后放款后循环利息median与去重后放款前循环利息median差值,43
226,43
放款后该用户账单数(去重),42
去重后放款后循环利息max与去重后放款前循环利息max差值,42
去重后放款前可用余额min,42
放款后上期账单金额count与放款前上期账单金额count差值,42
272,41
放款后可用余额min与放款后预借现金额度min差值,41
270,41
放款后浏览子行为编号_9,40
放款后账单金额为负数,40
19,39
去重后放款后消费笔数min,39
46,38
放款后预借现金额度min与放款前预借现金额度min差值,38
34,38
45,38
放款后循环利息median与放款前循环利息median差值,38
172,38
63,37
放款后可用余额mean与放款前可用余额mean差值,37
271,36
去重后放款后调整金额sum与去重后放款前调整金额sum差值,36
放款后账单金额为负数与放款前账单金额为负数差值,36
去重后放款后可用余额mean与去重后放款前可用余额mean差值,36
9,35
10,35
去重后放款后上期账单金额count与去重后放款前上期账单金额count差值,35
228,34
141,34
放款前信用卡额度count,34
放款后调整金额mean与放款前调整金额mean差值,34
去重后放款后预借现金额度min与去重后放款前预借现金额度min差值,33
151,33
去重后放款前信用卡额度count,32
44,31
去重后放款后调整金额min与去重后放款前调整金额min差值,31
去重后放款后调整金额mean与去重后放款前调整金额mean差值,31
73,30
去重后放款后预借现金额度min,29
282,29
去重后放款后消费笔数min与去重后放款前消费笔数min差值,29
167,28
去重后放款后循环利息median,28
39,27
放款后循环利息median,27
去重后放款前调整金额max,27
283,27
放款后可用余额sum与放款前可用余额sum差值,27
去重后放款后调整金额var,26
放款后消费笔数min与放款前消费笔数min差值,26
163,26
156,25
去重后放款后可用余额sum与去重后放款前可用余额sum差值,25
放款后调整金额sum与放款前调整金额sum差值,25
去重后放款后调整金额mean,25
放款后循环利息min,25
去重后放款后调整金额var与去重后放款前调整金额var差值,25
放款后调整金额var,25
去重后放款后循环利息max,25
去重后放款后可用余额min与放款后预借现金额度min差值与去重后放款前可用余额min与放款前预借现金额度min差值差值,24
去重后放款前本期账单余额count,24
77,24
放款后调整金额var与放款前调整金额var差值,24
去重后放款前可用余额median,23
174,23
放款后调整金额min与放款前调整金额min差值,22
去重后放款后可用余额min与放款后预借现金额度min差值,22
82,22
放款后调整金额min,22
去重后放款后上期还款金额count与去重后放款前上期还款金额count差值,21
30,21
去重后放款前循环利息min,21
放款后调整金额sum,20
去重后放款后消费笔数max,20
放款后调整金额mean,20
239,19
放款后上期账单金额count,18
放款前本期账单余额count,18
放款前可用余额median,18
去重后放款后上期账单金额count,18
放款前还款金额为负数,18
84,18
216,18
放款后循环利息min与放款前循环利息min差值,17
14,17
放款后工资收入笔数乘以差值,17
放款后上期还款金额count与放款前上期还款金额count差值,17
去重后放款后调整金额min,16
284,15
41,14
去重后放款后调整金额sum,14
放款后信用卡额度count与放款前信用卡额度count差值,14
放款后工资收入总计乘以差值,14
放款前循环利息std,14
64,14
放款后可用余额var,13
去重后放款前信用卡额度std,13
20,12
去重后放款后上期还款金额count,12
去重后放款后循环利息min与去重后放款前循环利息min差值,12
55,12
放款前本期账单最低还款额count,12
放款后可用余额median与放款前可用余额median差值,12
放款前信用卡额度std,11
285,11
放款后调整金额max,10
放款后可用余额max,10
去重后放款后信用卡额度count,10
放款后用户工资收入总计,10
去重后放款后循环利息min,10
去重后放款前本期账单最低还款额count,10
放款后用户非工资收入笔数,10
放款后本期账单余额count与放款前本期账单余额count差值,9
放款前上期还款金额std,9
去重后放款后调整金额max与去重后放款前调整金额max差值,9
去重后放款前本期账单最低还款额std与放款前循环利息std之和,9
放款后调整金额max与放款前调整金额max差值,9
放款前消费笔数std,8
放款前上期账单金额std,8
去重后放款后信用卡额度count与去重后放款前信用卡额度count差值,8
142,8
放款前本期账单最低还款额std,8
去重后放款后可用余额max,8
放款前本期账单余额std,8
放款前上期还款金额std与放款前上期账单金额std差值,8
放款后用户工资收入笔数,7
放款后上期还款金额count,7
放款前本期账单金额count,7
去重后放款前本期账单余额std,7
放款后可用余额sum,7
放款后可用余额mean,7
133,7
去重后放款后可用余额sum,7
27,7
放款后账单等于还款计数(去重)与放款前账单等于还款计数(去重)差值,6
放款前浏览子行为编号_11,6
去重后放款后上期还款金额std与放款后上期账单金额std差值,6
32,5
放款后循环利息std,5
去重后放款后可用余额var,5
放款前消费笔数count,5
去重后放款后调整金额median,5
158,5
放款后用户非工资收入总计,5
去重后放款前调整金额median,5
5,4
去重后放款后可用余额min与去重后放款前可用余额min差值,4
去重后放款前调整金额count,4
37,4
放款前本期账单最低还款额std与放款前循环利息std之和,4
放款后信用卡额度std,4
放款后可用余额min与放款前可用余额min差值,4
放款前信用卡额度std与放款前本期账单余额std差值,4
放款后浏览子行为编号_11,4
去重后放款前消费笔数count,4
放款前预借现金额度std,4
去重后放款后可用余额min,4
去重后放款后调整金额max,4
放款后上期还款金额std与放款后上期账单金额std差值,3
去重后放款前本期账单最低还款额std,3
去重后放款前本期账单金额count,3
放款后可用余额min,3
放款前本期账单金额std,3
去重后放款后可用余额mean,3
放款后本期账单最低还款额count与放款前本期账单最低还款额count差值,3
202,3
175,3
去重后放款后本期账单余额count,3
放款后消费笔数count与放款前消费笔数count差值,2
放款后信用卡额度count,2
287,2
去重后放款后本期账单余额count与去重后放款前本期账单余额count差值,2
放款后还款金额为负数与放款前还款金额为负数差值,2
去重后放款前消费笔数std,2
去重后放款前本期账单金额std,2
去重后放款后本期账单最低还款额std,2
85,2
放款后上期还款金额std,2
49,2
放款后消费笔数std与放款前消费笔数std差值,2
76,2
放款前浏览子行为编号_2,2
放款后本期账单最低还款额count,2
去重后放款后本期账单最低还款额count与去重后放款前本期账单最低还款额count差值,2
240,2
去重后放款前上期还款金额std与放款前上期账单金额std差值,2
95,1
去重后放款后可用余额median与去重后放款前可用余额median差值,1
54,1
去重后放款前可用余额std与放款前预借现金额度std差值,1
放款前可用余额std与放款前预借现金额度std差值,1
放款后本期账单金额count与放款前本期账单金额count差值,1
去重后放款后消费笔数std与去重后放款前消费笔数std差值,1
放款前可用余额std,1
去重后放款后可用余额median,1
放款后本期账单余额count,1
去重后放款后上期还款金额std与去重后放款前上期还款金额std差值,1
去重后放款后本期账单金额std与去重后放款前本期账单金额std差值,1
去重后放款前循环利息count,1
100,1
放款后预借现金额度std,1
去重后放款前循环利息std,1
去重后放款后消费笔数count,1
去重后放款后信用卡额度std与去重后放款前信用卡额度std差值,1
去重后放款后本期账单金额count,1
放款前调整金额count,1
放款前调整金额std,1
放款后本期账单余额std与放款前本期账单余额std差值,1
203,1
117,1
放款后调整金额count与放款前调整金额count差值,1
201,1
放款后调整金额median,1
251,1
去重后放款后消费笔数count与去重后放款前消费笔数count差值,1
去重后放款前信用卡额度std与放款前本期账单余额std差值,1
放款后本期账单金额std,1
去重后放款后调整金额median与去重后放款前调整金额median差值,1
229,1
放款前循环利息count,1
放款后可用余额median,1
去重后放款后上期账单金额std,1
去重后放款后上期还款金额std与放款后上期账单金额std差值与去重后放款前上期还款金额std与放款前上期账单金额std差值差值,1
放款前调整金额median,1
206,1
放款后可用余额std与放款后预借现金额度std差值,1
放款后循环利息std与放款前循环利息std差值,1
放款后可用余额std与放款后预借现金额度std差值与放款前可用余额std与放款前预借现金额度std差值差值,1
28,1
放款后本期账单金额std与放款前本期账单金额std差值,1
去重后放款后本期账单最低还款额count,1
